name,formula,category,subcategory,density,melting_point,boiling_point,thermal_conductivity,specific_heat,thermal_expansion,electrical_resistivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,poissons_ratio,source,mp_material_id,notes,glass_transition_temp,heat_deflection_temp,processing_temp_min_c,processing_temp_max_c,crystallinity,fracture_toughness,weibull_modulus,interlaminar_shear_strength,fiber_volume_fraction
Duplex Steel 2205,Fe-Cr-Ni-Mo-N,Metal,Ferrous,7.78,1475.0,,19.0,500,13.7,8.5e-07,450.0,620.0,200.0,290.0,0.3,Curated,,,,,,,,,,,
Brass 70Cu-30Zn,Cu-Zn,Metal,Non-Ferrous,8.53,1178.0,,120.0,380,19.9,6.2e-08,200.0,500.0,105.0,160.0,0.34,Curated,,,,,450.0,550.0,,25.0,,,
Bronze 90Cu-10Sn,Cu-Sn,Metal,Non-Ferrous,8.78,1223.0,,50.0,380,18.0,1.3e-07,195.0,350.0,110.0,100.0,0.34,Curated,,,,,,,,,,,
Cupronickel 90-10,Cu-Ni,Metal,Non-Ferrous,8.9,1468.0,,45.0,377,17.1,1.9e-07,105.0,300.0,150.0,80.0,0.35,Curated,,,,,,,,,,,
Aluminum 6061-T6,Al-Mg-Si,Metal,Non-Ferrous,2.7,855.0,,167.0,896,23.6,3.99e-08,276.0,310.0,69.0,107.0,0.33,Curated,,,,,,,,,,,
Aluminum 7075-T6,Al-Zn-Mg-Cu,Metal,Non-Ferrous,2.81,750.0,,130.0,960,23.4,5.15e-08,503.0,572.0,72.0,175.0,0.33,Curated,,,,,,,,,,,
Aluminum 2024-T3,Al-Cu-Mg,Metal,Non-Ferrous,2.78,911.0,,121.0,875,23.2,5.82e-08,345.0,483.0,73.0,130.0,0.33,Curated,,,,,,,,,,,
Ti-6Al-4V (Grade 5),Ti-Al-V,Metal,Non-Ferrous,4.43,1877.0,,6.7,560,8.6,1.71e-06,880.0,950.0,114.0,349.0,0.34,Curated,,,,,800.0,1050.0,,6.0,,,
Inconel 718,Ni-Cr-Fe-Nb,Metal,Superalloy,8.19,1609.0,,11.2,435,13.0,1.25e-06,1034.0,1241.0,200.0,350.0,0.29,Curated,,,,,,,,,,,
Inconel 625,Ni-Cr-Mo-Nb,Metal,Superalloy,8.44,1623.0,,9.8,410,12.8,1.29e-06,415.0,930.0,207.0,200.0,0.28,Curated,,,,,1100.0,1250.0,,180.0,,,
Hastelloy C-276,Ni-Mo-Cr,Metal,Superalloy,8.89,1598.0,,10.2,427,11.2,1.25e-06,414.0,790.0,205.0,210.0,0.3,Curated,,,,,1150.0,1300.0,,200.0,,,
Monel 400,Ni-Cu,Metal,Non-Ferrous,8.8,1573.0,,21.8,427,13.9,5.47e-07,240.0,550.0,179.0,130.0,0.32,Curated,,,,,,,,,,,
Nitinol NiTi,Ni-Ti,Metal,Shape-Memory,6.45,1583.0,,8.6,490,11.0,8.2e-07,195.0,895.0,75.0,250.0,0.33,Curated,,,,,,,,,,,
Solder 60Sn-40Pb,Sn-Pb,Metal,Non-Ferrous,8.52,456.0,,50.0,168,24.0,1.5e-07,,60.0,32.0,14.0,0.4,Curated,,,,,,,,,,,
Cast Iron (Gray),Fe-C-Si,Metal,Ferrous,7.15,1423.0,,51.0,490,10.8,1e-06,,250.0,100.0,200.0,0.26,Curated,,,,,700.0,900.0,,4.0,,,
Maraging Steel 300,Fe-Ni-Co-Mo,Metal,Ferrous,8.0,1723.0,,25.0,460,10.4,6e-07,1900.0,1965.0,190.0,600.0,0.3,Curated,,,,,,,,,,,
Alumina Al2O3 99%,Al2O3,Ceramic,Oxide,3.95,2345.0,3250.0,30.0,880,8.1,10000000000.0,,260.0,370.0,1500.0,0.22,Curated,,,,,1500.0,1750.0,100.0,6.0,,,
Silicon Carbide SiC,SiC,Ceramic,Carbide,3.21,3003.0,,120.0,750,4.0,10000.0,,400.0,410.0,2800.0,0.16,Curated,,,,,1600.0,1850.0,100.0,3.5,,,
Silicon Nitride Si3N4,Si3N4,Ceramic,Nitride,3.19,2173.0,,25.0,700,3.2,1000000000000.0,,600.0,300.0,1700.0,0.27,Curated,,,,,1500.0,1700.0,100.0,5.0,,,
Zirconia ZrO2 (Stabilized),ZrO2,Ceramic,Oxide,6.05,2988.0,,2.0,400,10.5,1000000000000.0,,800.0,210.0,1200.0,0.31,Curated,,,,,1400.0,1600.0,95.0,600.0,,,
Boron Carbide B4C,B4C,Ceramic,Carbide,2.52,2763.0,,30.0,950,5.0,0.3,,350.0,450.0,3000.0,0.17,Curated,,,,,1500.0,1700.0,100.0,3.0,,,
Magnesia MgO,MgO,Ceramic,Oxide,3.58,3098.0,3873.0,48.0,877,13.5,10000000000000.0,,100.0,248.0,750.0,0.18,Curated,,,,,,,,,,,
Tungsten Carbide WC,WC,Ceramic,Carbide,15.63,3058.0,,110.0,203,5.5,2e-07,,1700.0,696.0,2400.0,0.24,Curated,,,,,,,,,,,
Aluminium Nitride AlN,AlN,Ceramic,Nitride,3.26,2473.0,,170.0,780,4.6,100000000000.0,,300.0,320.0,1200.0,0.24,Curated,,,,,,,,,,,
Titanium Nitride TiN,TiN,Ceramic,Nitride,5.22,3220.0,,19.0,616,9.4,2.5e-07,,,600.0,2100.0,0.25,Curated,,,,,,,,,,,
Titania TiO2 (Rutile),TiO2,Ceramic,Oxide,4.26,2116.0,,8.0,690,8.2,1000000.0,,100.0,290.0,1100.0,0.27,Curated,,,,,,,,,,,
Cordierite Mg2Al4Si5O18,Mg2Al4Si5O18,Ceramic,Oxide,2.51,1733.0,,3.5,790,1.5,1000000000000.0,,,135.0,,0.25,Curated,,,,,,,,,,,
Borosilicate Glass,SiO2-B2O3,Ceramic,Glass,2.23,1098.0,,1.2,830,3.3,100000000.0,,60.0,63.0,520.0,0.2,Curated,,,,,,,,,,,
Fused Silica SiO2,SiO2,Ceramic,Glass,2.2,1983.0,,1.38,740,0.55,1e+16,,50.0,72.0,1100.0,0.17,Curated,,,,,,,,,,,
Hydroxyapatite,Ca10(PO4)6(OH)2,Ceramic,Bioceramic,3.16,1823.0,,1.3,700,11.5,10000000000.0,,40.0,117.0,600.0,0.28,Curated,,,,,,,,,,,
Silicon,Si,Semiconductor,Elemental,2.33,1687.0,3538.0,150.0,712,2.6,640.0,,7000.0,185.0,1000.0,0.28,Curated,,,,,,,,,,,
Germanium,Ge,Semiconductor,Elemental,5.32,1211.0,3106.0,60.0,321,5.8,0.46,,,130.0,692.0,0.26,Curated,,,,,,,,,,,
Gallium Arsenide GaAs,GaAs,Semiconductor,III-V,5.32,1511.0,,46.0,330,6.0,0.001,,,86.0,750.0,0.31,Curated,,,,,,,,,,,
Gallium Nitride GaN,GaN,Semiconductor,III-V,6.15,2773.0,,130.0,490,5.6,0.001,,,181.0,1580.0,0.35,Curated,,,,,,,,,,,
PTFE Teflon,(C2F4)n,Polymer,Fluoropolymer,2.2,600.0,,0.25,1000,135.0,1e+16,,31.0,0.5,,0.46,Curated,,,,,340.0,380.0,95.0,,,,
PEEK,(C19H12O3)n,Polymer,Thermoplastic,1.32,616.0,,0.25,320,47.0,49000000000000.0,91.0,100.0,3.6,,0.4,Curated,,,416.15,433.15,360.0,410.0,30.0,,,,
Nylon 6/6 PA66,(C12H22N2O2)n,Polymer,Polyamide,1.14,538.0,,0.25,1700,80.0,1000000000000.0,60.0,83.0,3.0,,0.4,Curated,,,323.15,343.15,250.0,290.0,35.0,,,,
Polycarbonate PC,(C15H16O2)n,Polymer,Thermoplastic,1.2,423.0,,0.2,1200,65.0,100000000000000.0,55.0,65.0,2.6,,0.37,Curated,,,420.15,401.15,260.0,320.0,0.0,,,,
Polypropylene PP,(C3H6)n,Polymer,Thermoplastic,0.9,433.0,,0.22,1700,100.0,100000000000000.0,30.0,35.0,1.4,,0.42,Curated,,,263.15,333.15,220.0,250.0,50.0,,,,
Ultem PEI,(C37H24N2O6)n,Polymer,Thermoplastic,1.27,490.0,,0.22,1100,56.0,1000000000000000.0,105.0,105.0,3.3,,0.36,Curated,,,490.15,473.15,340.0,390.0,0.0,,,,
CFRP Unidirectional,C/Epoxy,Composite,PMC,1.55,,,5.0,1050,0.5,1.7e-05,,1500.0,135.0,,0.3,Curated,,,,,230.0,280.0,,80.0,,60.0,60.0
GFRP Woven,SiO2/Epoxy,Composite,PMC,1.8,,,0.35,1000,11.0,1000000000000.0,,900.0,40.0,,0.25,Curated,,,,,220.0,270.0,,45.0,,50.0,50.0
Al-SiC Metal Matrix Composite,Al-SiC,Composite,MMC,2.9,,,170.0,864,12.4,4e-08,310.0,400.0,115.0,130.0,0.3,Curated,,,,,,,,,,,
Graphite Isotropic,C,Ceramic,Carbon,1.81,3948.0,,120.0,720,4.0,1.3e-05,,50.0,10.0,,0.2,Curated,,,,,,,,,,,
TiCuSiAs,TiCuSiAs,Ceramic,Mixed,5.956,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90856,,,,,,,,,
DyB6,DyB6,Ceramic,Boride,5.522,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86097,,,,,,,,,
Be2OsRu,Be2OsRu,Metal,Non-Ferrous,10.96,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64906,,,,,,,,,
KBi,KBi,Metal,Non-Ferrous,5.145,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98225,,,,,,,,,
VSe2,VSe2,Metal,Non-Ferrous,5.718,,,,,,,,,80.88610801471407,,,JARVIS dft_3d (scraped),,JVASP-10,,,,,,,,,
TbMnSi,TbMnSi,Ceramic,Mixed,7.41,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-14014,,,,,,,,,
Ba4NaBi,Ba4NaBi,Metal,Non-Ferrous,4.651,,,,,,,,,1.069394435351882,,,JARVIS dft_3d (scraped),,JVASP-64664,,,,,,,,,
SrFeO3,SrFeO3,Ceramic,Oxide,5.836,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-22556,,,,,,,,,
LuNi4Sn,LuNi4Sn,Metal,Superalloy,10.249,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86726,,,,,,,,,
MoW3Se2S6,MoW3Se2S6,Ceramic,Mixed,5.388,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-28634,,,,,,,,,
Ba4CeMn3O12,Ba4CeMn3O12,Ceramic,Oxide,6.138,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98550,,,,,,,,,
Fe2SiO4,Fe2SiO4,Ceramic,Oxide,4.438,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89265,,,,,,,,,
Ba14Na14LiN6,Ba14Na14LiN6,Ceramic,Nitride,2.887,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97915,,,,,,,,,
Ag2IO6,Ag2IO6,Ceramic,Oxide,5.588,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90228,,,,,,,,,
Li4Mn3Cr3O12,Li4Mn3Cr3O12,Ceramic,Oxide,4.401,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42300,,,,,,,,,
CdAs2O6,CdAs2O6,Ceramic,Oxide,5.765,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86968,,,,,,,,,
FeOF,FeOF,Ceramic,Oxide,4.758,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90532,,,,,,,,,
Na2CuO2,Na2CuO2,Ceramic,Oxide,3.544,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50332,,,,,,,,,
SmSb12Os4,SmSb12Os4,Metal,Non-Ferrous,9.359,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86205,,,,,,,,,
Mo3WSe6S2,Mo3WSe6S2,Ceramic,Mixed,5.106,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-28704,,,,,,,,,
PdSe8Cl2,PdSe8Cl2,Ceramic,Mixed,4.471,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-60702,,,,,,,,,
BaGe2,BaGe2,Metal,Non-Ferrous,5.124,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97799,,,,,,,,,
Te2Mo2WSe2S2,Te2Mo2WSe2S2,Ceramic,Mixed,4.974,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-28565,,,,,,,,,
LiSbF6,LiSbF6,Ceramic,Mixed,3.997,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86436,,,,,,,,,
AlAs,AlAs,Metal,Non-Ferrous,3.607,,,,,,,,,105.9126024318793,,,JARVIS dft_3d (scraped),,JVASP-1372,,,,,,,,,
SrB6,SrB6,Ceramic,Boride,3.439,,,,,,,,,295.0195324675325,,,JARVIS dft_3d (scraped),,JVASP-14873,,,,,,,,,
SiS,SiS,Ceramic,Non-Oxide,0.633,,,,,,,,,12.815033557046979,,,JARVIS dft_3d (scraped),,JVASP-28397,,,,,,,,,
Ce2Al16Pt9,Ce2Al16Pt9,Metal,Non-Ferrous,8.892,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98284,,,,,,,,,
Na2Si2Se5,Na2Si2Se5,Ceramic,Mixed,3.419,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89025,,,,,,,,,
NaI,NaI,Metal,Non-Ferrous,3.746,,,,,,,,,27.148687181073143,,,JARVIS dft_3d (scraped),,JVASP-1996,,,,,,,,,
LiMn5O3F5,LiMn5O3F5,Ceramic,Oxide,4.019,,,,,,,,,65.0098578199052,,,JARVIS dft_3d (scraped),,JVASP-48166,,,,,,,,,
YCoC2,YCoC2,Ceramic,Carbide,5.909,,,,,,,,,250.80591035490409,,,JARVIS dft_3d (scraped),,JVASP-15345,,,,,,,,,
Rb2PdI6,Rb2PdI6,Metal,Non-Ferrous,4.924,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97378,,,,,,,,,
TbTaO4,TbTaO4,Ceramic,Oxide,8.922,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97984,,,,,,,,,
Ni3Te2,Ni3Te2,Metal,Non-Ferrous,8.151,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98224,,,,,,,,,
FeH8Cl2O4,FeH8Cl2O4,Ceramic,Oxide,2.081,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98167,,,,,,,,,
Ba4TaZn,Ba4TaZn,Metal,Non-Ferrous,5.492,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64045,,,,,,,,,
Ba4CaRe,Ba4CaRe,Metal,Non-Ferrous,5.496,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63912,,,,,,,,,
Ba4TeSe,Ba4TeSe,Metal,Non-Ferrous,5.329,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64003,,,,,,,,,
Ba4NaGe,Ba4NaGe,Metal,Non-Ferrous,4.026,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64584,,,,,,,,,
Ba4HgPb,Ba4HgPb,Metal,Non-Ferrous,6.204,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64240,,,,,,,,,
Bi3Sb,Bi3Sb,Metal,Non-Ferrous,8.772,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-107772,,,,,,,,,
Ba4YNb,Ba4YNb,Metal,Non-Ferrous,4.748,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64719,,,,,,,,,
K4MnMo4O15,K4MnMo4O15,Ceramic,Oxide,3.689,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97499,,,,,,,,,
Ba4LiHf,Ba4LiHf,Metal,Non-Ferrous,4.519,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64377,,,,,,,,,
Xe,Xe,Ceramic,Elemental,3.762,,,,,,,,,6.9707865168539325,,,JARVIS dft_3d (scraped),,JVASP-21210,,,,,,,,,
Rb2GeB4O9,Rb2GeB4O9,Ceramic,Oxide,3.296,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97677,,,,,,,,,
BeReBi4,BeReBi4,Metal,Non-Ferrous,9.288,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-65101,,,,,,,,,
Ca4BeW,Ca4BeW,Metal,Non-Ferrous,3.62,,,,,,,,,34.54916656615608,,,JARVIS dft_3d (scraped),,JVASP-65062,,,,,,,,,
Na2Cr2O7,Na2Cr2O7,Ceramic,Oxide,2.796,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97570,,,,,,,,,
BeCu4W,BeCu4W,Metal,Non-Ferrous,9.833,,,,,,,,,146.1587714449988,,,JARVIS dft_3d (scraped),,JVASP-64983,,,,,,,,,
Ce3Si8Ni2,Ce3Si8Ni2,Ceramic,Mixed,5.572,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98036,,,,,,,,,
SrV4Bi6O20,SrV4Bi6O20,Ceramic,Oxide,6.695,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98088,,,,,,,,,
RbVF3,RbVF3,Ceramic,Mixed,4.54,,,,,,,,,94.4163080710392,,,JARVIS dft_3d (scraped),,JVASP-22587,,,,,,,,,
Sr2Ti2As2OF2,Sr2Ti2As2OF2,Ceramic,Oxide,4.921,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89957,,,,,,,,,
YMg,YMg,Metal,Non-Ferrous,3.485,,,,,,,,,69.92744165341813,,,JARVIS dft_3d (scraped),,JVASP-18912,,,,,,,,,
NiN6Cl2,NiN6Cl2,Ceramic,Nitride,3.069,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90428,,,,,,,,,
MnOF,MnOF,Ceramic,Oxide,4.462,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48091,,,,,,,,,
Te6Mo3WSe2,Te6Mo3WSe2,Metal,Non-Ferrous,5.834,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-29104,,,,,,,,,
Ba4MgBi,Ba4MgBi,Metal,Non-Ferrous,4.866,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64427,,,,,,,,,
KBaZn,KBaZn,Metal,Non-Ferrous,2.971,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64129,,,,,,,,,
Ba4MnW,Ba4MnW,Metal,Non-Ferrous,5.899,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64090,,,,,,,,,
Ba4VSe,Ba4VSe,Metal,Non-Ferrous,4.608,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64314,,,,,,,,,
Ba4TaIn,Ba4TaIn,Metal,Non-Ferrous,5.838,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63956,,,,,,,,,
TiCrAgS4,TiCrAgS4,Ceramic,Mixed,4.206,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-107735,,,,,,,,,
Ba4NbBi,Ba4NbBi,Metal,Non-Ferrous,5.719,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64861,,,,,,,,,
Ba4CaSn,Ba4CaSn,Metal,Non-Ferrous,4.277,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64780,,,,,,,,,
KMoP2O8,KMoP2O8,Ceramic,Oxide,3.165,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98798,,,,,,,,,
Ba4HgSb,Ba4HgSb,Metal,Non-Ferrous,5.796,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64512,,,,,,,,,
UNiSn,UNiSn,Metal,Non-Ferrous,9.303,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-53301,,,,,,,,,
Ba4CdSe,Ba4CdSe,Metal,Non-Ferrous,4.926,,,,,,,,,-7.179759979128619,,,JARVIS dft_3d (scraped),,JVASP-64184,,,,,,,,,
MnBeIr4,MnBeIr4,Metal,Non-Ferrous,14.857,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64945,,,,,,,,,
LiO,LiO,Ceramic,Oxide,2.356,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86322,,,,,,,,,
USb,USb,Unknown,,10.07,,,,,,,,,109.66926833019338,,,JARVIS dft_3d (scraped),,JVASP-14756,,,,,,,,,
MnCoO4,MnCoO4,Ceramic,Oxide,5.456,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-47529,,,,,,,,,
LaAlH6,LaAlH6,Metal,Non-Ferrous,3.657,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91520,,,,,,,,,
Rb2MnCl6,Rb2MnCl6,Ceramic,Mixed,3.167,,,,,,,,,25.48493514238855,,,JARVIS dft_3d (scraped),,JVASP-22670,,,,,,,,,
Ag2F5,Ag2F5,Ceramic,Mixed,5.311,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97623,,,,,,,,,
CeTiO3,CeTiO3,Ceramic,Oxide,6.466,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-49836,,,,,,,,,
Te2MoWSeS,Te2MoWSeS,Ceramic,Mixed,6.082,,,,,,,,,4.124076923076923,,,JARVIS dft_3d (scraped),,JVASP-28959,,,,,,,,,
LiSiCu2,LiSiCu2,Ceramic,Mixed,5.558,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-15810,,,,,,,,,
Zn2Ga2S5,Zn2Ga2S5,Ceramic,Mixed,4.013,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90114,,,,,,,,,
SrO,SrO,Ceramic,Oxide,4.968,,,,,,,,,148.43203661327234,,,JARVIS dft_3d (scraped),,JVASP-1390,,,,,,,,,
Li2VO2F,Li2VO2F,Ceramic,Oxide,3.848,,,,,,,,,182.4044489972513,,,JARVIS dft_3d (scraped),,JVASP-47962,,,,,,,,,
NaVO2,NaVO2,Ceramic,Oxide,4.191,,,,,,,,,197.29858368030415,,,JARVIS dft_3d (scraped),,JVASP-1879,,,,,,,,,
Nb3Si,Nb3Si,Ceramic,Mixed,7.381,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98688,,,,,,,,,
CSO,CSO,Ceramic,Non-Oxide,1.63,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-5482,,,,,,,,,
